id;name;nationality;sex;dob;height;weight;sport;gold;silver;bronze
824789786;Benjamin Errol Provisor;USA;male;6/26/90;1.73;88;wrestling;0;0;0
429748988;Benjamin Hallock;USA;male;11/22/97;1.99;108;aquatics;0;0;0
347604292;Bernard Lagat;USA;male;12/12/1974;1.73;58;athletics;0;0;0
552255079;Bethanie Mattek-Sands;USA;female;3/23/85;1.68;65;tennis;1;0;0
570608473;Blake Pieroni;USA;male;11/15/95;1.88;86;aquatics;1;0;0
112585422;Bobby Lea;USA;male;10/17/83;1.88;77;cycling;0;0;0
993211347;Bora Gulari;USA;male;10/22/75;1.81;74;sailing;0;0;0
404999388;Boris Berian;USA;male;12/19/92;1.83;69;athletics;0;0;0
819043889;Boyd Martin;USA;male;8/20/79;1.88;79;equestrian;0;0;0
804733660;Bradley Adkins;USA;male;12/30/93;1.89;79;athletics;0;0;0
139075859;Brady Ellison;USA;male;10/27/88;1.81;86;archery;0;1;1
193606583;Breanna Stewart;USA;female;8/27/94;1.93;79;basketball;1;0;0
477118293;Brenda Martinez;USA;female;09/08/1987;1.71;56;athletics;0;0;0
125216390;Brent Bookwalter;USA;male;2/16/84;1.81;68;cycling;0;0;0
998710520;Bret Bonanni;USA;male;1/20/94;1.94;92;aquatics;0;0;0
98906595;Brian Baker;USA;male;4/30/85;1.91;77;tennis;0;0;0
353066862;Briana Provancha;USA;female;4/25/89;1.71;66;sailing;0;0;0
861484261;Brianna Rollins;USA;female;8/18/91;1.66;58;athletics;1;0;0
837634473;Brittany Borman;USA;female;07/01/1989;1.83;77;athletics;0;0;0
387060457;Brittney Griner;USA;female;10/18/90;2.03;94;basketball;1;0;0
772781845;Brittney Reese;USA;female;09/09/1986;1.73;61;athletics;0;1;0
229593375;Brooke Crain;USA;female;4/29/93;1.63;55;cycling;0;0;0
586492695;Brooke Sweat;USA;female;3/27/86;1.73;69;volleyball;0;0;0
257258199;Bubba Watson;USA;male;11/05/1978;1.91;81;golf;0;0;0
920028907;Byron Robinson;USA;male;05/10/1995;1.76;74;athletics;0;0;0
247346852;Caeleb Dressel;USA;male;8/16/96;1.91;86;aquatics;2;0;0
147956765;Caitlin van Sickle;USA;female;1/26/90;1.66;58;hockey;0;0;0
100675394;Cale Simmons;USA;male;02/05/1991;;;athletics;0;0;0
521652208;Caleb Paine;USA;male;11/15/90;1.91;97;sailing;0;0;1
94450987;Cammile Adams;USA;female;09/11/1991;1.73;65;aquatics;0;0;0
714231073;Carli Lloyd;USA;female;08/06/1989;1.8;75;volleyball;0;0;1
228340991;Carli Lloyd;USA;female;7/16/82;1.72;61;football;0;0;0
215241067;Carlin Isles;USA;male;11/21/89;1.73;74;rugby sevens;0;0;0
318016892;Carlos Zenon Balderas Jr.;USA;male;8/24/96;1.76;;boxing;0;0;0
11238404;Carmelo Anthony;USA;male;5/29/84;2.03;109;basketball;1;0;0
477040413;Carmen Farmer;USA;female;12/04/1980;1.86;81;rugby sevens;0;0;0
899383164;Casey Eichfeld;USA;male;11/15/89;1.78;77;canoe;0;0;0
472505034;Casey Patterson;USA;male;4/20/80;1.99;88;volleyball;0;0;0
62565482;Catherine Meili;USA;female;4/16/91;1.71;61;aquatics;1;0;1
792508512;Charles Albert Shone Conwell;USA;male;11/02/1997;1.76;;boxing;0;0;0
32540693;Charles Cole;USA;male;6/21/86;1.94;90;rowing;0;0;0
15332817;Charles Jock;USA;male;11/23/89;1.91;74;athletics;0;0;0
373271527;Charlie Buckingham;USA;male;1/16/89;1.88;81;sailing;0;0;0
280839325;Chase Kalisz;USA;male;03/07/1994;1.94;86;aquatics;0;1;0
714871025;Chaunte Lowe;USA;female;01/12/1984;1.76;59;athletics;0;0;0
908812309;Chloe Dygert;USA;female;01/01/1997;1.76;66;cycling;0;1;0
87537613;Chloe Woodruff;USA;female;7/21/87;1.58;51;cycling;0;0;0
381231123;Chris Benard;USA;male;04/09/1990;1.91;83;athletics;0;0;0
491144467;Chris Wyles;USA;male;9/13/83;1.83;95;rugby sevens;0;0;0
123893495;Chrishuna Williams;USA;female;3/31/93;1.61;54;athletics;0;0;0
261434157;Christa Harmotto Dietzen;USA;female;10/12/1986;1.88;79;volleyball;0;0;1
900988313;Christen Press;USA;female;12/29/88;1.7;60;football;0;0;0
871551515;Christian Coleman;USA;male;03/06/1996;1.76;72;athletics;0;0;0
446986047;Christian Taylor;USA;male;6/18/90;1.88;81;athletics;1;0;0
748125644;Christina Epps;USA;female;6/20/91;1.76;65;athletics;0;0;0
822832512;Christopher Brooks;USA;male;12/19/86;1.73;74;gymnastics;0;0;0
786574595;Cierra Runge;USA;female;03/07/1996;1.94;84;aquatics;1;0;0
175558091;Claressa Maria Shields;USA;female;3/17/95;1.76;;boxing;1;0;0
292197619;Clark Montgomery;USA;male;5/20/81;1.83;70;equestrian;0;0;0
736895804;Clark Smith;USA;male;4/17/95;2.06;89;aquatics;1;0;0
952767996;Clayton Murphy;USA;male;2/26/95;1.81;68;athletics;0;0;1
687327234;Coco Vandeweghe;USA;female;12/06/1991;1.86;70;tennis;0;0;0
710695405;Cody Miller;USA;male;01/09/1992;1.81;79;aquatics;1;0;1
531594504;Colleen Quigley;USA;female;11/20/92;1.76;61;athletics;0;0;0
13487026;Colton Brown;USA;male;10/08/1991;1.83;90;judo;0;0;0
868434625;Connor Fields;USA;male;9/14/92;1.83;88;cycling;1;0;0
420887334;Connor Jaeger;USA;male;4/30/91;1.86;77;aquatics;0;1;0
453971347;Conor Dwyer;USA;male;01/10/1989;1.96;88;aquatics;1;0;1
579847713;Conor McCullough;USA;male;1/31/91;1.96;106;athletics;0;0;0
752996196;Corben Sharrah;USA;male;4/20/92;1.83;85;cycling;0;0;0
37278485;Corey Cogdell;USA;female;09/02/1986;1.73;70;shooting;0;0;1
567635337;Courtney Frerichs;USA;female;1/18/93;1.71;53;athletics;0;0;0
64284064;Courtney Hurley;USA;female;9/30/90;1.73;79;fencing;0;0;0
760942208;Courtney Mathewson;USA;female;9/14/86;1.71;69;aquatics;1;0;0
771725452;Courtney Okolo;USA;female;3/15/94;1.73;58;athletics;1;0;0
650068927;Courtney Thompson;USA;female;11/04/1984;1.7;66;volleyball;0;0;1
343383925;Crystal Dunn;USA;female;07/03/1992;1.57;54;football;0;0;0
77303549;Cyrus Hostetler;USA;male;08/08/1986;1.88;95;athletics;0;0;0
128148287;Dagmara Wozniak;USA;female;07/01/1988;1.73;81;fencing;0;0;1
209724463;Dalilah Muhammad;USA;female;02/07/1990;1.73;55;athletics;1;0;0
622909202;Dana Vollmer;USA;female;11/13/87;1.86;68;aquatics;1;1;1
527822094;Danell Leyva;USA;male;10/30/91;1.73;72;gymnastics;0;2;0
337337344;Daniel Lowe;USA;male;11/18/92;1.83;81;shooting;0;0;0
287487601;Daniel Paul Dennis;USA;male;9/24/86;1.66;56;wrestling;0;0;0
502713645;Danny Barrett;USA;male;3/23/90;1.88;102;rugby sevens;0;0;0
549879032;Darrell Hill;USA;male;8/17/93;1.91;145;athletics;0;0;0
274289648;Daryl Homer;USA;male;7/16/90;1.73;74;fencing;0;1;0
769652662;Dave Hughes;USA;male;1/22/78;1.86;71;sailing;0;0;0
643787184;David Boudia;USA;male;4/24/89;1.76;72;aquatics;0;1;1
487593687;David Higgins;USA;male;6/27/94;1.76;68;shooting;0;0;0
336599329;David Lee;USA;male;03/08/1982;2.03;105;volleyball;0;0;1
971131011;David Plummer;USA;male;10/09/1985;1.91;95;aquatics;1;0;1
440461124;David Smith;USA;male;5/15/85;2.01;86;volleyball;0;0;1
507639455;David Verburg;USA;male;5/14/91;1.73;70;athletics;1;0;0
777458812;DeAndre Jordan;USA;male;7/21/88;2.11;120;basketball;1;0;0
170161629;DeMarcus Cousins;USA;male;8/13/90;2.1;122;basketball;1;0;0
996704082;Deajah Stevens;USA;female;5/19/95;;;athletics;0;0;0
275797773;Deanna Price;USA;female;06/08/1993;1.73;99;athletics;0;0;0
174042478;Demar DeRozan;USA;male;08/07/1989;2.01;99;basketball;1;0;0
521906110;Denis Kudla;USA;male;8/17/92;1.81;79;tennis;0;0;0
525844968;Desiree Linden;USA;female;7/26/83;1.55;43;athletics;0;0;0
640447595;Devery Karz;USA;female;2/18/88;1.73;58;rowing;0;0;0
831917950;Devin McEwan;USA;male;10/11/1984;1.78;77;canoe;0;0;0
355897271;Devon Allen;USA;male;12/12/1994;1.86;83;athletics;0;0;0
352310155;Diana Taurasi;USA;female;06/11/1982;1.82;70;basketball;1;0;0
93583120;Donald Cabral;USA;male;12/12/1989;1.78;68;athletics;0;0;0
66675675;Draymond Green;USA;male;03/04/1990;2;104;basketball;1;0;0
906594925;Edward King;USA;male;6/14/89;1.94;77;rowing;0;0;0
518148894;Eleanor Logan;USA;female;12/27/87;1.88;86;rowing;1;0;0
648308415;Elena Delle Donne;USA;female;09/05/1989;1.95;86;basketball;1;0;0
763314251;Elena Sergey Pirozhkova;USA;female;10/13/86;1.68;71;wrestling;0;0;0
985507855;Eli Dershwitz;USA;male;9/23/95;1.86;77;fencing;0;0;0
993687711;Elizabeth Beisel;USA;female;8/18/92;1.68;63;aquatics;0;0;0
33326551;Elizabeth Madden;USA;female;11/20/63;1.68;63;equestrian;0;1;0
667380122;Ellen Tomek;USA;female;05/01/1984;1.78;72;rowing;0;0;0
514462575;Emil Milev;USA;male;05/02/1968;1.78;83;shooting;0;0;0
265521340;Emily Infeld;USA;female;3/21/90;1.63;49;athletics;0;0;0
345975199;Emily Regan;USA;female;06/10/1988;1.88;80;rowing;1;0;0
688367620;Emily Sonnett;USA;female;11/25/93;1.68;60;football;0;0;0
469541944;Emma Coburn;USA;female;10/19/90;1.73;54;athletics;0;0;1
166163342;English Gardner;USA;female;4/22/92;1.68;54;athletics;1;0;0
786298586;Enkelejda Shehaj Bekurti;USA;female;1/23/69;1.63;57;shooting;0;0;0
571952374;Erik Kynard;USA;male;02/03/1991;1.94;89;athletics;0;0;0
474166352;Erik Shoji;USA;male;8/24/89;1.84;83;volleyball;0;0;1
239566230;Eva Lee;USA;female;08/07/1986;1.68;58;badminton;0;0;0
707333933;Evan Jager;USA;male;03/08/1989;1.88;65;athletics;0;1;0
176808861;Evelyn Stevens;USA;female;05/09/1983;1.66;55;cycling;0;0;0
184330822;Felice Mueller;USA;female;10/15/89;1.86;72;rowing;0;0;0
709441023;Felisha Johnson;USA;female;7/24/89;1.86;127;athletics;0;0;0
429153076;Folau Niua;USA;male;1/27/85;1.83;88;rugby sevens;0;0;0
241899445;Foluke Akinradewo;USA;female;10/05/1987;1.91;79;volleyball;0;0;1
407138612;Francena McCorory;USA;female;10/20/88;1.71;68;athletics;1;0;0
81861765;Frank Aniello Molinaro;USA;male;12/27/88;1.68;68;wrestling;0;0;0
226195365;Frank Thompson;USA;male;03/11/1988;1.81;79;shooting;0;0;0
995739090;Gabrielle Douglas;USA;female;12/31/95;1.5;49;gymnastics;1;0;0
106376682;Galen Rupp;USA;male;05/08/1986;1.81;61;athletics;0;0;1
622386960;Garrett Bender;USA;male;12/02/1991;1.94;104;rugby sevens;0;0;0
249661772;Gary Russell;USA;male;6/14/96;1.73;;boxing;0;0;0
682915910;Genevra Stone;USA;female;07/11/1985;1.83;71;rowing;0;1;0
859175581;Gerek Meinhardt;USA;male;7/27/90;1.83;79;fencing;0;0;1
60549448;Gerina Piller;USA;female;3/29/85;1.71;64;golf;0;0;0
802471466;Gil Roberts;USA;male;3/15/89;1.88;81;athletics;1;0;0
801742919;Glenn Ochal;USA;male;03/01/1986;1.94;95;rowing;0;0;0
705783753;Grace Latz;USA;female;2/21/88;1.83;79;rowing;0;0;0
552672529;Grace Luczak;USA;female;5/24/89;1.91;77;rowing;0;0;0
423041181;Greg Billington;USA;male;5/30/89;1.76;65;triathlon;0;0;0
732208032;Gunnar Bentz;USA;male;01/03/1996;1.96;83;aquatics;1;0;0
874914826;Gwen Berry;USA;female;6/29/89;1.76;88;athletics;0;0;0
292122842;Gwen Jorgensen;USA;female;4/25/86;1.78;58;triathlon;1;0;0
329066484;Haley Anderson;USA;female;11/20/91;1.78;68;aquatics;0;0;0
587562061;Haley Ruth Augello;USA;female;10/17/94;1.61;54;wrestling;0;0;0
853405739;Hali Flickinger;USA;female;07/07/1994;1.66;52;aquatics;0;0;0
35658013;Hans Struzyna;USA;male;3/31/89;1.88;90;rowing;0;0;0
98629225;Harrison Barnes;USA;male;5/30/92;2.03;102;basketball;1;0;0
175315541;Hassan Mead;USA;male;6/28/91;1.88;65;athletics;0;0;0
865048976;Heather Miller-Koch;USA;female;3/30/87;1.76;63;athletics;0;0;0
782975512;Heather O Reilly;USA;female;01/02/1985;1.66;59;football;0;0;0
992478807;Helen Louise Maroulis;USA;female;9/19/91;1.63;56;wrestling;1;0;0
914156027;Helena Scutt;USA;female;6/15/92;1.71;65;sailing;0;0;0
471800036;Henrik Rummel;USA;male;9/26/87;1.96;97;rowing;0;0;0
668140506;Hillary Bor;USA;male;11/22/89;1.71;52;athletics;0;0;0
653150622;Hope Solo;USA;female;7/30/81;1.75;67;football;0;0;0
426998976;Howard Grotts;USA;male;01/12/1993;1.71;58;cycling;0;0;0
532364177;Howard Shu;USA;male;11/28/90;1.86;74;badminton;0;0;0
399888791;Ibtihaj Muhammad;USA;female;12/04/1985;1.71;68;fencing;0;0;1
22127464;Inika McPherson;USA;female;9/29/86;;;athletics;0;0;0
642164387;Iris Wang;USA;female;09/02/1994;1.61;52;badminton;0;0;0
465840905;Isabella Isaksen;USA;female;11/22/93;1.73;63;modern pentathlon;0;0;0
478575859;J'den Michael Tbory Cox;USA;male;03/03/1995;1.81;85;wrestling;0;0;1
762346507;Jack Conger;USA;male;9/26/94;1.94;79;aquatics;1;0;0
466400637;Jack Sock;USA;male;9/24/92;1.91;83;tennis;1;0;1
570931875;Jackie Galloway;USA;female;12/27/95;1.78;79;taekwondo;0;0;1
181043384;Jaclyn Briggs;USA;female;5/23/88;1.68;61;hockey;0;0;0
775250732;Jacob Dalton;USA;male;8/19/91;1.52;65;gymnastics;0;0;0
260432807;Jacob Gibb;USA;male;02/06/1976;2.01;95;volleyball;0;0;0
888054041;Jacob Pebley;USA;male;9/17/93;1.94;86;aquatics;0;0;0
507019886;Jake Kaminski;USA;male;08/11/1988;1.78;70;archery;0;1;0
927707277;James Feigen;USA;male;9/26/89;1.96;97;aquatics;1;0;0
742530788;Jamie Subandhi;USA;female;12/15/89;1.63;58;badminton;0;0;0
947261546;Janay Deloach;USA;female;10/12/1985;1.66;58;athletics;0;0;0
586477204;Jared Ward;USA;male;09/09/1988;1.78;65;athletics;0;0;0
357249315;Jarrion Lawson;USA;male;05/06/1994;1.88;78;athletics;0;0;0
452497047;Jason Pryor;USA;male;9/26/87;1.76;79;fencing;0;0;0
570894983;Jay Litherland;USA;male;8/24/95;1.83;79;aquatics;0;0;0
61075691;Jay Shi;USA;male;2/23/79;1.73;61;shooting;0;0;0
555512079;Jeff Henderson;USA;male;2/19/89;1.83;85;athletics;1;0;0
553883529;Jeff Porter;USA;male;11/27/85;1.83;86;athletics;0;0;0
898091953;Jenna Prandini;USA;female;11/20/92;1.73;59;athletics;0;0;0
500359548;Jennifer Simpson;USA;female;8/23/86;1.66;53;athletics;0;0;1
626745836;Jennifer Suhr;USA;female;02/05/1982;1.83;65;athletics;0;0;0
871842382;Jennifer Valente;USA;female;12/24/94;1.76;74;cycling;0;1;0
596979059;Jenny Lyvette Arthur;USA;female;12/11/1993;1.66;75;weightlifting;0;0;0
414345502;Jeremy Taiwo;USA;male;1/15/90;1.94;90;athletics;0;0;0
691246438;Jesse David Thielke;USA;male;06/09/1992;1.71;68;wrestling;0;0;0
619652365;Jesse Smith;USA;male;4/27/83;1.94;105;aquatics;0;0;0
629770332;Jessica Javelet;USA;female;6/25/85;1.68;63;rugby sevens;0;0;0
223516819;Jessica Parratto;USA;female;6/26/94;1.58;50;aquatics;0;0;0
254128139;Jiaqi Zheng;USA;female;1/13/88;1.66;42;table tennis;0;0;0
359354716;Jill Witmer;USA;female;10/01/1991;1.58;52;hockey;0;0;0
102526440;Jillion Potter;USA;female;07/05/1986;1.78;79;rugby sevens;0;0;0
980188208;Jimmy Butler;USA;male;9/14/89;2.01;99;basketball;1;0;0
984524568;Joanne Faavesi;USA;female;02/05/1992;1.68;73;rugby sevens;0;0;0
251331480;Joe Kovacs;USA;male;6/28/89;1.83;133;athletics;0;1;0
166825342;Joe Maloy;USA;male;12/20/85;1.76;64;triathlon;0;0;0
886636468;Joe Morris;USA;male;8/17/89;1.78;79;sailing;0;0;0
914738719;John Mann;USA;male;6/27/85;1.99;113;aquatics;0;0;0
444015390;John Nunn;USA;male;02/03/1978;1.88;78;athletics;0;0;0
204399496;Jordan Ernest Burroughs;USA;male;07/08/1988;1.71;79;wrestling;0;0;0
277046821;Jordan Larson-Burbach;USA;female;10/16/86;1.88;75;volleyball;0;0;1
710046367;Jordan Wilimovsky;USA;male;4/22/94;1.78;68;aquatics;0;0;0
234184817;Josh Konieczny;USA;male;5/26/91;1.81;74;rowing;0;0;0
820424202;Josh Prenot;USA;male;7/28/93;1.81;75;aquatics;0;1;0
485505257;Joshua Richmond;USA;male;12/19/85;1.88;90;shooting;0;0;0
299902345;Joshua Samuels;USA;male;07/08/1991;1.94;95;aquatics;0;0;0
594049927;Julia Reinprecht;USA;female;07/12/1991;1.61;55;hockey;0;0;0
923461973;Julie Johnston;USA;female;04/06/1992;1.7;61;football;0;0;0
574761075;Justin Gatlin;USA;male;02/10/1982;1.86;80;athletics;0;1;0
947906976;KK Clark;USA;female;6/28/90;1.88;72;aquatics;1;0;0
951014219;Kaleigh Gilchrist;USA;female;5/16/92;1.76;77;aquatics;1;0;0
608037098;Kami Craig;USA;female;7/21/87;1.81;88;aquatics;1;0;0
386777560;Kanak Jha;USA;male;6/19/00;1.66;51;table tennis;0;0;0
30506524;Kara Winger;USA;female;04/10/1986;1.83;83;athletics;0;0;0
406293602;Karsta Lowe;USA;female;02/02/1993;1.93;75;volleyball;0;0;1
45164432;Kasey Perry-Glass;USA;female;10/12/1987;1.63;58;equestrian;0;0;1
375680192;Kassidy Cook;USA;female;05/09/1995;1.63;56;aquatics;0;0;0
291806865;Katarzyna Trzopek;USA;female;05/06/1981;1.76;74;fencing;0;0;0
42745952;Kate Grace;USA;female;10/24/88;1.73;55;athletics;0;0;0
845437093;Katelin Snyder;USA;female;8/16/87;1.63;49;rowing;1;0;0
211784095;Katelyn Falgowski;USA;female;10/23/88;1.68;62;hockey;0;0;0
124647381;Katharine Holmes;USA;female;7/15/93;1.81;79;fencing;0;0;0
864345352;Katherine Reinprecht;USA;female;11/01/1989;1.63;56;hockey;0;0;0
36697871;Kathleen Baker;USA;female;2/28/97;1.73;67;aquatics;1;1;0
136505337;Kathleen Bam;USA;female;12/06/1988;1.55;54;hockey;0;0;0
353620509;Kathleen Bertko;USA;female;11/08/1983;1.76;58;rowing;0;0;0
280337491;Kathleen Sharkey;USA;female;4/30/90;1.63;58;hockey;0;0;0
911364658;Kathryn Johnson;USA;female;10/25/91;1.78;69;rugby sevens;0;0;0
960103057;Katie Ledecky;USA;female;3/17/97;1.83;72;aquatics;4;1;0
204377038;Katie Zaferes;USA;female;06/09/1989;1.73;58;triathlon;0;0;0
842830190;Katrina Young;USA;female;01/10/1992;1.63;59;aquatics;0;0;0
706766581;Kawika Shoji;USA;male;11/11/1987;1.9;79;volleyball;0;0;1
707077587;Kayla Banwarth;USA;female;1/21/89;1.78;75;volleyball;0;0;1
204954873;Kayla Harrison;USA;female;07/02/1990;1.73;74;judo;1;0;0
450005449;Keith Sanderson;USA;male;02/02/1975;1.83;95;shooting;0;0;0
564720756;Kelley Hurley;USA;female;04/04/1988;1.76;74;fencing;0;0;0
623867004;Kelley O Hara;USA;female;08/04/1988;1.65;54;football;0;0;0
828916384;Kelly Catlin;USA;female;11/03/1995;1.68;63;cycling;0;1;0
963773248;Kelly Griffin;USA;female;11/07/1986;1.63;68;rugby sevens;0;0;0
142742348;Kelly Murphy;USA;female;10/20/89;1.88;79;volleyball;0;0;1
667833997;Kelsey Card;USA;female;8/20/92;1.78;115;athletics;0;0;0
549733789;Kelsey Kolojejchick;USA;female;10/02/1991;1.61;61;hockey;0;0;0
132170004;Kelsey Robinson;USA;female;6/25/92;1.88;75;volleyball;0;0;1
596257734;Kelsi Worrell;USA;female;7/15/94;1.81;74;aquatics;1;0;0
410580066;Kendell Williams;USA;female;6/14/95;1.78;67;athletics;0;0;0
799965606;Kendrick James Farris;USA;male;07/02/1986;1.68;93;weightlifting;0;0;0
907808928;Kent Farrington;USA;male;12/28/80;1.73;65;equestrian;0;1;0
499209508;Kerri Walsh Jennings;USA;female;8/15/78;1.88;72;volleyball;0;0;1
891867859;Kerron Clement;USA;male;10/31/85;1.88;86;athletics;1;0;0
419463510;Kerry Simmonds;USA;female;04/03/1989;1.83;81;rowing;1;0;0
197595753;Keturah Orji;USA;female;03/05/1996;1.66;61;athletics;0;0;0
905417640;Kevin Cordes;USA;male;8/13/93;2.21;88;aquatics;1;0;0
887138863;Kevin Durant;USA;male;9/29/88;2.05;104;basketball;1;0;0
841438155;Kiana Eide;USA;female;9/25/98;1.61;53;gymnastics;0;0;0
224527761;Kibwe Johnson;USA;male;7/17/81;1.88;102;athletics;0;0;0
654132840;Kiley Neushul;USA;female;03/05/1993;1.73;65;aquatics;1;0;0
189393338;Kim Conley;USA;female;3/14/86;1.61;49;athletics;0;0;0
649635243;Kimberly Hill;USA;female;11/30/89;1.93;72;volleyball;0;0;1
447699488;Kimberly Rhode;USA;female;7/16/79;1.63;83;shooting;0;0;1
748463150;Klay Thompson;USA;male;02/08/1990;2;97;basketball;1;0;0
737728576;Kristen Shaldybin;USA;female;08/08/1997;1.76;56;gymnastics;0;0;0
34438087;Kristi Castlin;USA;female;07/07/1988;1.71;60;athletics;0;0;1
512973536;Kristian Ipsen;USA;male;10/20/92;1.71;72;aquatics;0;0;0
791417527;Kristin Armstrong;USA;female;08/11/1973;1.73;58;cycling;1;0;0
341835179;Kyle Clemons;USA;male;12/27/90;1.81;72;athletics;1;0;0
334173080;Kyle Frederick Snyder;USA;male;11/20/95;1.81;102;wrestling;1;0;0
57806527;Kyle Lowry;USA;male;3/25/86;1.83;93;basketball;1;0;0
212656744;Kyrie Irving;USA;male;3/23/92;1.9;87;basketball;1;0;0
920627938;Lashawn Merritt;USA;male;6/27/86;1.91;86;athletics;1;0;1
225614709;Laura Graves;USA;female;7/22/87;1.73;54;equestrian;0;0;1
774958820;Laura Kraut;USA;female;11/14/65;1.71;56;equestrian;0;0;0
